Categories,PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type
Unfiled,4579506371,06/05/2008,03:49 PM,CG staff,Rattlesnake,,Sight,Yes,Campground-C6,3D diff,54,3.2,287,321495,5434615,CO51050608,"CG, Path","Overcast, Cool",100,21.9,20.2,,15,,3.6,248,95,153,Female,Adult,No,"Citrus green, Lt blue, Blue bell",,2008-40,06/06/2008,09:51 AM,CIK,1,Village riperean,On the move,2008-51,08recap
Unfiled,CO52050608,06/05/2008,03:54 PM,CG staff,Rattlesnake,,Sight,No,Campground-site4,3D diff,72,4.2,287,321605,5434629,CO52050608,"CG, Road","Overcast, Cool",100,21.9,20.2,,,,,,,,,Neonate,,,,Dead after being caught,,,,,,On the move,2008-52,
Unfiled,484B15284B,06/05/2008,10:01 AM,OMM,Rattlesnake,,Sight,No,Drift fence,,,,,322,543,,"Shrub-steppe, Antelope brush","Overcast, Cool",100,21.9,20.2,,1,58.2,3.8,305,119,186,Female,Adult,Yes,"Gold, Pt purple, Car pink",,,06/06/2008,12:43 PM,CIK,1,At capture location,On the move,2008-53,Capt
Unfiled,464E792E50,06/06/2008,12:47 PM,CIK,Rattlesnake,,Sight,No,Horse gate - snake fence,3D diff,123,4.9,297,321809,5434638,,"Riparian, Sagebrush","Overcast, Cool",100,21.9,20.2,,,,,384,80,304,Male,Adult,NA,Solid royal blue,,Removal transmitter,,,,,,On the move,2008-54,Capt
Unfiled,4555574732,06/07/2008,12:30 PM,GC staff,Rattlesnake,,Sight,No,Golf Course - near 3rd green,3D diff,4,53,338,0322304,5434707,189,"CG,, Path","Overcast, Cool",75,,,,,,6.8,408,91,317,Male,Adult,NA,"Citrus green, Lt blue, Fiesta yellow",,,06/09/2008,01:42 PM,CIK,2,Pine tree bridge,On the move,2008-55,Capt
Unfiled,456A701D3F,06/09/2008,01:42 PM,GC staff,Rattlesnake,,Sight,No,Golf Course - near 6th,3D diff,4,29,359,0322443,5434937,191,"GC, Path","Cloudy,, Warm",75,,,,,,6.4,497,151,346,Male,Adult,NA,"Fiesta yellow, Blue bell, Red",,,06/09/2008,01:58 PM,CIK,,Pine tree bridge,On the move,2008-56,Capt
Unfiled,43602D1948,06/11/2008,12:35 PM,"OMM, CIK",Rattlesnake,,Sight,No,Coverboards - A5,3D diff,33,4.3,301,321676,5434734,CO0061108,"Shrub-steppe, Antelope brush","Overcast, Windy, Cool",75,24,26.2,,14,74.9,5.8,348,85,263,Male,Adult,NA,"Fiesta yellow, Tango blue",,Poseidon,06/11/2008,03:25 PM,CIK,,At capture location,Under coverboard,2008-57,Capt
Unfiled,452F4D6857,06/11/2008,11:45 AM,CG staff,Rattlesnake,,Sight,No,Golf Course - hole4,3D diff,3,60,344,0322406,5434690,190,"GC, Sagebrush","Overcast, Windy, Cool",75,24,26.2,,2,,7,428,124,304,Male,Adult,NA,"Fuchsia, Citrus green, Tango blue",,Ready to shed,,,,,,On the move,2008-58,Capt
Unfiled,430B2E5719,06/12/2008,10:47 AM,CIK,Rattlesnake,,Sight,Yes,Campground,3D diff,4,102,298,0321502,5434981,188,CG,Sunny,5%,35.7,28.3,,,,,416,,416,Male,,NA,,,,,,,,,Coiled,2008-59,08recap
Unfiled,454F204E69,06/12/2008,03:33 PM,"OMM, JRB",Rattlesnake,,Sight,No,Rattlesnake Point,3D diff,,,,319833,5436446,,"Wetland/lake edge, Plywood","Sunny, Hot",0,,,,,,6.1,618,123,495,Male,Adult,NA,"Fiesta yellow, Red, Pt purple",,,06/14/2008,11:20 AM,OMM,2,At capture location,Under coverboard,2008-60,Capt
Unfiled,4530125604,06/13/2008,12:05 PM,CIK,Rattlesnake,,Sight,No,Coverboards -A6,3D diff,22,3.9,319,321653,5434741,192,"Shrub-steppe, Antelope brush","Sunny, Hot",5%,31.1,31,,,74.6,6,443,109,334,Male,Adult,NA,No rattle,,Porter,06/14/2008,02:16 PM,OMM,1,At capture location,Under coverboard,2008-61,Capt
Unfiled,485F5B1263,06/12/2008,01:32 PM,"OMM, JRB",Rattlesnake,,Sight,No,Base Den5,3D diff,,,,321799,5435786,,"Riparian, Hawthorn","Sunny, Hot",0,,,,,,4.1,250,103,147,Male,Sub Adult,NA,"Gold, Pt purple, Deep aqua",,,06/14/2008,12:50 PM,OMM,2,At capture location,On the move,2008-62,Capt
Unfiled,485F70022E,06/12/2008,04:51 PM,"OMM, JRB",Rattlesnake,,Sight,No,Snake fence 2nd rockpile,3D diff,,,,321576,5434843,,"Shrub-steppe, Rock pile","Sunny, Hot",0,,,,,,6.8,424,103,321,Male,Adult,NA,"Fuchsia, Blue bell, Fiesta yellow",,,,,,,,Basking,2008-63,Capt
Unfiled,CO64130608,06/13/2008,05:02 PM,CG staff,Rattlesnake,,Sight,No,Campground - site200,,,,,322,543,CO64130608,"CG, Road","Sunny, Hot",5%,,,,,,,107,91,16,,Neonate,,Gold,,,06/14/2008,10:00 AM,OMM,1,"Close to cap location, better cover",On the move,2008-64,Capt
Unfiled,475A32355A,06/14/2008,11:39 AM,"OMM, JRB",Rattlesnake,,Sight,No,Rattlesnake Point,3D diff,30,3.1,,322,543,,"Shrub-steppe, Rabbit brush","Sunny, Warm",0,24.4,26.5,,,,5.6,417,85,332,Male,Adult,NA,"Fiesta yellow, Daisy cream, Red",,"5 rattles
Coiled under log - shedding",,,,,,Under rabbit brush,2008-65,Capt
Unfiled,45744A0C2E,06/14/2008,10:29 AM,"OMM, JRB",Rattlesnake,,Sight,No,Rattlesnake Point,3D diff,30,3.1,,322,543,,"Shrub-steppe, Rabbit brush","Sunny, Warm",0,24.4,26.5,,Blue,,5.6,436,99,337,Male,Adult,NA,"Fiesta yellow , Royal blue, Fuchsia",,"6 rattles
Coiled under log - shedding",,,,,,Under rabbit brush,2008-66,Capt
Unfiled,45306D4A14,06/15/2008,09:31 AM,CG staff,Rattlesnake,,Sight,Yes,Campground - behind store,,,,,322,543,,"CG, Path","Dusk, Warm",0,,,,,,,,,,Male,Adult,NA,"Fuchsia, Blue bell, Pt purple",,,06/15/2008,10:00 AM,OMM,,Over snakefence,On the move,2008-67,08recap
Unfiled,CO68170608,06/17/2008,06:07 PM,CG staff,Rattlesnake,,Sight,No,Campground - site2,,,,,322,543,,"CG, Path","Sunny, Hot",5%,,,,,,1.4,16,0,16,,Neonate,,Gold,,,06/18/2008,11:00 AM,CIK,1,Riperian - pumphouse,On the move,2008-68,Capt
Unfiled,Co69190608,06/19/2008,03:23 PM,CIK,Rattlesnake,,Sight,No,A-3 Coverboard,3D diff,4,31,302,0321726,5434684,006,CoverBoard,Cloudy,90,27.1,26,,6,,,13,,13,,Neonate,NA,Gold,,,,,,,,Under coverboard,2008-69,Capt
Unfiled,CO70190608,06/19/2008,03:45 PM,,Rattlesnake,,Sight,No,Coverboards-A3,3D diff,31,4.8,302,321726,5434684,CO70190608-006,"Shrub-steppe, CoverBoard","Cloudy, Warm",90,26,27.1,,,,1.3,137,124,13,,Neonate,,Gold,,,,,,,,Under coverboard,2008-70,Capt
